acc,superkingdom,phylum
AAG02364.1,Bacteria,Actinobacteria
AAG02364.1,Bacteria,Actinobacteria
AAO72424.1,Bacteria,Proteobacteria
AAO72424.1,Bacteria,Proteobacteria
AAO72424.1,Bacteria,Proteobacteria
AAO72424.1,Bacteria,Proteobacteria
AAO72424.1,Bacteria,Proteobacteria
AAF99707.2,Bacteria,Proteobacteria
AAF99707.2,Bacteria,Proteobacteria
AAF99707.2,Bacteria,Proteobacteria
AAF99707.2,Bacteria,Proteobacteria
AAF99707.2,Bacteria,Proteobacteria
AEC14349.1,Bacteria,Firmicutes
CAE53350.1,Bacteria,Actinobacteria
CAE53350.1,Bacteria,Actinobacteria
CAC48360.1,Bacteria,Actinobacteria
CAC48360.1,Bacteria,Actinobacteria
CAC48360.1,Bacteria,Actinobacteria
AAA63415.1,Eukaryota,Ascomycota
AAA63415.1,Eukaryota,Ascomycota
CAA38195.1,Eukaryota,Ascomycota
AAA63415.1,Eukaryota,Ascomycota
BAB94679.1,Bacteria,Firmicutes
BAB57094.1,Bacteria,Firmicutes
CAE11277.1,NA,NA
CAE11277.1,NA,NA
AAG02358.1,NA,NA
AAX16360.1,NA,NA
AAX16360.1,NA,NA
AAX16360.1,NA,NA
AAX16360.1,NA,NA
AAZ23075.1,NA,NA
AAZ23075.1,NA,NA
AAZ23075.1,NA,NA
AAZ23075.1,NA,NA
AAZ23075.1,NA,NA
BAA08846.1,NA,NA
BAA08846.1,NA,NA
BAA08846.1,NA,NA
AAK57184.1,NA,NA
AAX16297.1,NA,NA
AAX16297.1,NA,NA
AAX16297.1,NA,NA
AAX16297.1,NA,NA
AAX16361.1,NA,NA
AAX16361.1,NA,NA
AAX16361.1,NA,NA
AAU22002.1,NA,NA
AAU22002.1,NA,NA
AAU22002.1,NA,NA
AAC44129.1,NA,NA
CAD92850.1,NA,NA
CAD92850.1,NA,NA
CAD92850.1,NA,NA
CAD92850.1,NA,NA
CAE53352.1,NA,NA
CAE53352.1,NA,NA
CAE53352.1,NA,NA
CAA67249.1,NA,NA
CAA67249.1,NA,NA
CAA67249.1,NA,NA
CAA67249.1,NA,NA
AAS98786.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
AAO72425.1,NA,NA
CAA84361.1,NA,NA
CAA84361.1,NA,NA
AAK81826.1,NA,NA
AAK81826.1,NA,NA
AAK81826.1,NA,NA
AAA03914.1,NA,NA
AAA03914.1,NA,NA
AAA03914.1,NA,NA
AAC45929.1,NA,NA
AAC45929.1,NA,NA
AAC45929.1,NA,NA
AAX31558.1,NA,NA
AAX31558.1,NA,NA
AAX31558.1,NA,NA
AAX31558.1,NA,NA
AAX31558.1,NA,NA
AAX31558.1,NA,NA
AAC44632.1,NA,NA
EWS95124.1,NA,NA
EWS95124.1,NA,NA
EWS95124.1,NA,NA
EWS95124.1,NA,NA
EPE34341.1,NA,NA
EPE34341.1,NA,NA
EPE34341.1,NA,NA
EPE34341.1,NA,NA
EPE34341.1,NA,NA
EPE34341.1,NA,NA
AGQ43600.1,NA,NA
AGQ43600.1,NA,NA
AGQ43600.1,NA,NA
AGQ43600.1,NA,NA
BAO73252.1,NA,NA
BAO73252.1,NA,NA
BAO73252.1,NA,NA
BAO73252.1,NA,NA
BAO73252.1,NA,NA
BAO73252.1,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
simA_not_in_genbank,NA,NA
AHZ20774.1,NA,NA
AHZ20774.1,NA,NA
AHZ20774.1,NA,NA
AGC65514.1,NA,NA
AGC65514.1,NA,NA
AGC65514.1,NA,NA
AHF20583.1,NA,NA
AIG79242.1,NA,NA
CDG17982.1,NA,NA
CDG17982.1,NA,NA
CDG17982.1,NA,NA
CDG17982.1,NA,NA
AAA33023.2,NA,NA
AAA33023.2,NA,NA
AAA33023.2,NA,NA
A45086,NA,NA
AAA33023.2,NA,NA
CAP96445.1,NA,NA
CAP96445.1,NA,NA
AAK1902.1,NA,NA
AAK1902.1,NA,NA
AAK1902.1,NA,NA
CBJ90082.1,NA,NA
CBJ90082.1,NA,NA
CBJ90082.1,NA,NA
CBJ90082.1,NA,NA
CCA29202.1,NA,NA
CCA29202.1,NA,NA
CCA29203.1,NA,NA
CCA29203.1,NA,NA
CCA29203.1,NA,NA
CBJ90289.1,NA,NA
CBJ90287.1,NA,NA
CBJ90288.1,NA,NA
AFH75328.1,NA,NA
AFH75328.1,NA,NA
AFH75329.1,NA,NA
AFH75329.1,NA,NA
AFH75329.1,NA,NA
AFH75329.1,NA,NA
AFH75330.1,NA,NA
AFH75330.1,NA,NA
AFH75330.1,NA,NA
AFH75330.1,NA,NA
AGC65516.1,NA,NA
AGC65516.1,NA,NA
AGC65517.1,NA,NA
ABB80392.1,NA,NA
ABB80392.1,NA,NA
ABB80392.1,NA,NA
AAO55667.1,NA,NA
AAO55667.1,NA,NA
AGN11881.1,NA,NA
AIC32693.1,NA,NA
CDG17981.1,NA,NA
CDG17981.1,NA,NA
CDG17980.1,NA,NA
CDG17980.1,NA,NA
CDG17980.1,NA,NA
CDG17980.1,NA,NA
CDG17980.1,NA,NA
CDG17980.1,NA,NA
CDG17980.1,NA,NA
AHH53507.1,NA,NA
AHH53507.1,NA,NA
AHH53507.1,NA,NA
AHH53507.1,NA,NA
AHH53507.1,NA,NA
AHH53507.1,NA,NA
AHH53506.1,NA,NA
AHH53506.1,NA,NA
AHH53506.1,NA,NA
AHH53506.1,NA,NA
AHH53506.1,NA,NA
AHH53508.1,NA,NA
AHH53508.1,NA,NA
CAA11796.1,NA,NA
AEA30272.1,NA,NA
AEA30272.1,NA,NA
AEA30272.1,NA,NA
AEA30272.1,NA,NA
AEA30273.1,NA,NA
AEA30273.1,NA,NA
AEA30273.1,NA,NA
AEA30273.1,NA,NA
AEA30274.1,NA,NA
AEA30274.1,NA,NA
AEA30274.1,NA,NA
CAJ34375.1,NA,NA
CAJ34375.1,NA,NA
AAO55665.1,NA,NA
AAO55665.1,NA,NA
AAA92015.1,NA,NA
BAC67536.1,NA,NA
BAC67536.1,NA,NA
BAC67536.1,NA,NA
BAC67536.1,NA,NA
BAC67536.1,NA,NA
CAA67248.1,NA,NA
CAA67248.1,NA,NA
AAY29580.1,NA,NA
AAY29580.1,NA,NA
AAY29580.1,NA,NA
AAY29580.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
CAB38518.1,NA,NA
WP_057667184.1,NA,NA
WP_057667184.1,NA,NA
AAO23334.1,NA,NA
AAO23334.1,NA,NA
AAO23334.1,NA,NA
BAH31686.1,NA,NA
BAH31686.1,NA,NA
BAH31686.1,NA,NA
BAH31686.1,NA,NA
BAH33409.1,NA,NA
BAH33409.1,NA,NA
BAH33409.1,NA,NA
AFR69334.1,NA,NA
AFR69334.1,NA,NA
AFR69334.1,NA,NA
AIS24862.1,NA,NA
CCJ67636.1,NA,NA
CCJ67636.1,NA,NA
CCJ67636.1,NA,NA
CCJ67637.1,NA,NA
CCJ67637.1,NA,NA
