labnames,clusters
UNKNOWN_B6A39_RS12315_AMP_binding_NZ_CP020562__2636973_2638170_____,1
UNKNOWN_ABAZ39_RS25275_AMP_binding_NZ_CP007795__651999_653187_____,1
UNKNOWN_ROSMUCSMR3_RS01485_AMP_binding_NZ_CP020474__300920_302114_____,1
pro_AMC87_RS04700_AMP_binding_NZ_CP013537__982504_983704_____,1
UNKNOWN_C2U31_RS16085_AMP_binding_NZ_CP026124__3502164_3503397_____,1
UNKNOWN_A6C57_RS11730_AMP_binding_NZ_CP015317__2878783_2879950_____,1
UNKNOWN_A7J05_RS34520_AMP_binding_NZ_CP015588__7889944_7891102_____,1
UNKNOWN_SXIN_RS02390_AMP_binding_NZ_CP023202__524442_525495_____,1
pro_CO540_RS05120_AMP_binding_NZ_CP024052__1107847_1108870_____,1
UNKNOWN_B586_RS14710_AMP_binding_NZ_CP011883.2_3142741_3143851_____,1
UNKNOWN_SACE_RS19515_AMP_binding_NC_009142__4419324_4420473_____,2
UNKNOWN_AA650_RS13985_AMP_binding_NZ_CP011456__3234228_3235425_____,2
UNKNOWN_TO73_RS04345_AMP_binding_NZ_CP010822__788727_789993_____,3
trp_PERMA_RS09560_AMP_binding_NC_012440__1839974_1841201_____,4
UNKNOWN_B9T62_RS36355_AMP_binding_NZ_CP021780__8020403_8021609_____,5
UNKNOWN_BEH_RS10760_AMP_binding_NZ_CP011974__2192326_2193484_____,6
UNKNOWN_AACI_RS12110_AMP_binding_NC_013205__2517697_2518849_____,6
UNKNOWN_CQW49_RS12450_AMP_binding_NZ_CP023737__2578551_2579718_____,6
orn_EMIN_RS05175_AMP_binding_NC_010644__1103892_1105023_____,6
UNKNOWN_AYM39_RS11850_AMP_binding_NZ_CP014360__2682897_2684091_____,6
UNKNOWN_A8F97_RS00560_AMP_binding_NZ_CP015749__131414_132629_____,6
UNKNOWN_JBW_RS22990_AMP_binding_NZ_CP010978__5199466_5200636_____,6
UNKNOWN_PNK_RS03185_AMP_binding_NZ_LN879502__769905_771105_____,6
UNKNOWN_PUV_RS07995_AMP_binding_NC_015702__1917403_1918609_____,6
thr_WCW_RS03385_AMP_binding_NC_014225__761151_762306_____,6
UNKNOWN_WCW_RS06625_AMP_binding_NC_014225__1462408_1463611_____,6
UNKNOWN_VT84_RS35540_AMP_binding_NZ_CP011271__8542643_8543768_____,6
UNKNOWN_AXF13_RS03140_AMP_binding_NZ_CP014229__726000_727257_____,6
UNKNOWN_BBG19_RS02615_AMP_binding_NZ_CP016930__534978_536148_____,6
ala_RB6533_AMP_binding_NC_005027__3469620_3470796_____,6
leu_A9255_RS19690_AMP_binding_NZ_CP016176__4310142_4311357_____,7
UNKNOWN_S23_RS32965_AMP_binding_NC_017082__7010009_7011242_____,7
val_BBTA_RS33355_AMP_binding_NC_009485__7461736_7463023_____,7
pro_MFUL124B02_RS10340_AMP_binding_NZ_CP006003__2550590_2551841_____,7
UNKNOWN_BPHYT_RS20035_AMP_binding_NC_010676__39397_40696_____,7
leu_CDG81_RS18365_AMP_binding_NZ_CP022752__4211867_4213109_____,7
UNKNOWN_HOCH_RS05250_AMP_binding_NC_013440__1399986_1401036_____,8
leu_PCNPT3_RS07025_AMP_binding_NC_020802__1608267_1609620_____,8
trp_AO081_RS06905_AMP_binding_NZ_CP012851__1535578_1536856_____,8
UNKNOWN_TFKS16_RS13345_AMP_binding_NZ_AP013045__3224229_3225555______B__,8
leu_STAUR_RS19860_AMP_binding_NC_014623__4892184_4893552_____,8
