
MIBiG accession	Full / partial MIBiG info	Main product	Biosynthetic class	Organism
BGC0000001	Full	abyssomicin	Polyketide	Verrucosispora maris AB-18-032
BGC0000016	Full	amphotericin	Other	Streptomyces nodosus
BGC0000017	Full	anatoxin	Alkaloid / Polyketide	Oscillatoria sp. PCC 6506
BGC0000023	Full	aurafuron	Polyketide	Stigmatella aurantiaca DW4/3-1
BGC0000024	Full	aureothin	Polyketide	Streptomyces thioluteus
BGC0000026	Full	avilamycin A	Saccharide	Streptomyces viridochromogenes Tue57
BGC0000027	Full	azaphilone	Polyketide	Monascus pilosus
BGC0000028	Full	bafilomycin	Polyketide	Streptomyces lohii
BGC0000029	Full	BE-14106	Polyketide	Streptomyces sp. DSM 21069
BGC0000031	Full	borrelidin	Polyketide	Streptomyces parvulus
BGC0000036	Full	chlorothricin	Polyketide / Saccharide	Streptomyces antibioticus
BGC0000038	Full	coelimycin	Polyketide	Streptomyces coelicolor A3(2)
BGC0000044	Full	dawenol	Polyketide	Stigmatella aurantiaca DW4/3-1
BGC0000046	Full	depudecin	Polyketide	Alternaria brassicicola
BGC0000055	Full	erythromycin	Polyketide / Saccharide	Saccharopolyspora erythraea NRRL 2338
BGC0000057	Full	F9775	Polyketide	Aspergillus nidulans FGSC A4
BGC0000065	Full	galbonolides	Polyketide	Streptomyces galbus
BGC0000070	Full	griseofulvin	Polyketide	Penicillium aethiopicum
BGC0000072	Full	gulmirecin	Polyketide	Pyxidicoccus fallax
BGC0000081	Full	kedarcidin	Polyketide	Streptoalloteichus sp. ATCC 53650
BGC0000083	Full	lactimidomycin	Polyketide	Streptomyces amphibiosporus
BGC0000090	Full	macbecin	Polyketide	Actinosynnema pretiosum subsp. pretiosum
BGC0000094	Full	methymycin / pikromycin	Polyketide / Saccharide	Streptomyces venezuelae
BGC0000097	Full	ML-449	Polyketide	Streptomyces sp. MP39-85
BGC0000101	Full	monodictyphenone	Polyketide	Aspergillus nidulans FGSC A4
BGC0000104	Full	mycophenolic acid	Polyketide / Terpene	Penicillium brevicompactum
BGC0000106	Full	naphthomycin	Polyketide	Streptomyces sp. CS
BGC0000110	Full	neoaureothin	Polyketide	Streptomyces orinoci
BGC0000112	Full	neocarzinostatin	Polyketide	Streptomyces carzinostaticus subsp. neocarzinostaticus
BGC0000115	Full	nystatin	Polyketide / Saccharide	Streptomyces noursei ATCC 11455
BGC0000119	Full	pactamycin	Other / Polyketide / Saccharide	Streptomyces pactum
BGC0000122	Full	phenylnannolone A	Polyketide	Nannocystis pusilla
BGC0000144	Full	salinomycin	Polyketide	Streptomyces albus
BGC0000147	Full	soraphen	Polyketide	Sorangium cellulosum
BGC0000149	Full	spirangien	Polyketide	Sorangium cellulosum
BGC0000150	Full	sporolide	NRP / Polyketide	Salinispora tropica CNB-440
